rule,support
214507447,2
"214507447, 214702925",2
214508287,3
214508563,4
214508942,3
214509000,2
214509013,2
"214509013, 214821296",2
214509084,4
214509135,3
214510044,3
214510738,2
214510757,2
"214510757, 214820255",2
214510805,3
"214510805, 214510854",2
214510854,2
214511015,2
"214511015, 214835120",2
214512122,2
"214512122, 214512137",2
214512137,2
214512152,2
"214512152, 214580790",2
214512416,3
214512425,7
"214512425, 214537967",3
"214512425, 214601670",3
214512611,3
"214512611, 214602605",2
"214512611, 214680371",2
"214512611, 214835120",2
214512671,2
214513170,2
214514233,2
214514287,2
"214514287, 214826891",2
214516768,3
"214516768, 214516790",2
214516790,2
214517450,2
"214517450, 214714927",2
214517880,2
214523700,2
214530665,5
"214530665, 214712237",2
"214530665, 214712237, 214743515",2
"214530665, 214743515",2
214530690,2
214530705,2
214531155,3
"214531155, 214586805",2
214532070,6
"214532070, 214532072",2
214532072,5
"214532072, 214826801",2
214532107,2
214533022,6
"214533022, 214612706",2
"214533022, 214716930",3
"214533022, 214716930, 214716932",3
"214533022, 214716930, 214716932, 214716935",3
"214533022, 214716930, 214716935",3
"214533022, 214716932",3
"214533022, 214716932, 214716935",3
"214533022, 214716935",3
214533026,5
"214533026, 214551630",3
"214533026, 214551630, 214612920",2
"214533026, 214612704",2
"214533026, 214612920",2
214534601,2
214534689,2
214534704,5
214535006,2
214535621,9
"214535621, 214594678",2
"214535621, 214594678, 214602834",2
"214535621, 214602834",2
"214535621, 214716984",2
"214535621, 214716984, 214826803",2
"214535621, 214820233",2
"214535621, 214826803",2
"214535621, 214833800",2
214536435,2
214536440,4
214536502,2
"214536502, 214664919",2
214536613,2
214536697,2
"214536697, 214586983",2
"214536697, 214586983, 214840762",2
"214536697, 214840762",2
214537070,2
"214537070, 214826606",2
214537490,2
214537515,2
214537967,12
214538030,2
214538572,2
214538574,2
214538951,3
"214538951, 214589606",2
"214538951, 214826747",2
214538992,2
214539845,2
"214539845, 214587643",2
214540035,2
"214540035, 214575491",2
214540070,3
"214540070, 214826835",2
214541525,2
"214541525, 214688612",2
214543922,4
"214543922, 214555492",2
"214543922, 214674401",2
"214543922, 214827032",2
214544936,2
214544945,2
214545879,3
214545935,2
214546089,2
214546102,4
"214546102, 214684115",2
214546121,2
214548103,2
214548525,2
214548744,2
214551607,2
214551609,2
214551617,3
"214551617, 214551626",2
"214551617, 214551626, 214612920",2
"214551617, 214551626, 214612920, 214821309",2
"214551617, 214551626, 214821309",2
"214551617, 214612920",3
"214551617, 214612920, 214684160",2
"214551617, 214612920, 214684160, 214821309",2
"214551617, 214612920, 214821309",3
"214551617, 214684160",2
"214551617, 214684160, 214821309",2
"214551617, 214821309",3
214551626,5
"214551626, 214612920",2
"214551626, 214612920, 214821309",2
"214551626, 214821305",2
"214551626, 214821309",2
214551630,6
"214551630, 214612920",2
"214551630, 214821305",3
214551905,2
214551909,3
214551913,5
214551917,3
214551930,2
214552166,2
214553544,2
"214553544, 214826799",2
"214553544, 214826799, 214826955",2
"214553544, 214826955",2
214553604,2
